NAME                                     READY   STATUS      RESTARTS   AGE     IP             NODE   NOMINATED NODE   READINESS GATES
pod/mq-fbd8846c7-725vw                   1/1     Running     0          53m     10.217.0.94    crc    <none>           <none>
pod/payment-auth-negative-5lqqx-rqn8s    0/1     Error       0          43m     10.217.0.97    crc    <none>           <none>
pod/payment-auth-negative-rmdmw-sj8p2    0/1     Completed   0          29m     10.217.0.109   crc    <none>           <none>
pod/payment-auth-negative-v8jhh-r9hqt    0/1     Completed   0          34m     10.217.0.99    crc    <none>           <none>
pod/payment-idempotency-j5kfc-pdm6v      0/1     Completed   0          30m     10.217.0.103   crc    <none>           <none>
pod/payment-idempotency-k6p54-glkml      0/1     Error       0          41m     10.217.0.98    crc    <none>           <none>
pod/payment-idempotency-v2zn6-zxcbl      0/1     Completed   0          30m     10.217.0.107   crc    <none>           <none>
pod/payment-idempotency-xkbns-brwjn      0/1     Completed   0          30m     10.217.0.101   crc    <none>           <none>
pod/payment-order-hngsq-xbftp            0/1     Completed   0          33m     10.217.0.100   crc    <none>           <none>
pod/payment-order-r75t8-c6xs9            0/1     Completed   0          29m     10.217.0.110   crc    <none>           <none>
pod/payment-processing-75c6848f4-2tq58   1/1     Running     0          29m     10.217.0.108   crc    <none>           <none>
pod/payments-db-5dc7f4d6bd-zbzsl         1/1     Running     1          3d19h   10.217.0.89    crc    <none>           <none>

NAME                                     STATUS   VOLUME                                     CAPACITY   ACCESS MODES   STORAGECLASS                   VOLUMEATTRIBUTESCLASS   AGE     VOLUMEMODE
persistentvolumeclaim/mq-data            Bound    pvc-e6c25c86-309d-4454-ac0d-c7c2100b4971   79Gi       RWO            crc-csi-hostpath-provisioner   <unset>                 6d1h    Filesystem
persistentvolumeclaim/payments-db-data   Bound    pvc-94f5a27f-6e28-4d37-8b1a-255887898303   79Gi       RWO            crc-csi-hostpath-provisioner   <unset>                 3d19h   Filesystem
